goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGorilla/64KB-20        	  217095	      5512 ns/op	11890.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217028	      5507 ns/op	11900.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217184	      5502 ns/op	11912.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  223024	      5504 ns/op	11907.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  220880	      5494 ns/op	11928.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217647	      5506 ns/op	11902.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217678	      5477 ns/op	11964.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217305	      5501 ns/op	11913.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-20        	  217040	      5444 ns/op	12037.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	250662596	         4.781 ns/op	13385.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	251434736	         4.777 ns/op	13398.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	253011079	         4.733 ns/op	13520.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	247510497	         4.789 ns/op	13362.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	251725779	         4.757 ns/op	13454.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	253317384	         4.742 ns/op	13496.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	249163815	         4.777 ns/op	13396.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	252618056	         4.744 ns/op	13490.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	252984189	         4.740 ns/op	13500.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-20           	250051852	         4.793 ns/op	13353.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	78286066	        15.39 ns/op	16629.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77941998	        15.39 ns/op	16629.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77644262	        15.40 ns/op	16625.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77580366	        15.35 ns/op	16681.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77712968	        15.34 ns/op	16689.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77554584	        15.38 ns/op	16644.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	78216358	        15.37 ns/op	16655.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	78058177	        15.41 ns/op	16617.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77951698	        15.40 ns/op	16625.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-20          	77681647	        15.40 ns/op	16623.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23201317	        51.70 ns/op	19805.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23199976	        51.70 ns/op	19807.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23220447	        51.68 ns/op	19814.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23198289	        51.65 ns/op	19826.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23233110	        51.62 ns/op	19837.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-20           	23189302	        51.69 ns/op	19808.54 MB/s	       0 B/op	       0 allocs/op
