goos: darwin
goarch: arm64
pkg: github.com/zchee/gows/bench
cpu: Apple M3 Max
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-16         	   36217	     33062 ns/op	 495.55 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-16         	   36390	     32979 ns/op	 496.79 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-16         	   36513	     33295 ns/op	 492.09 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   85698	     13971 ns/op	  18.32 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   85669	     14059 ns/op	  18.21 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   86517	     14078 ns/op	  18.18 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   86407	     13941 ns/op	  18.36 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   87111	     14067 ns/op	  18.20 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   84736	     14065 ns/op	  18.20 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   84176	     14259 ns/op	  17.95 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   83746	     14232 ns/op	  17.99 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   84372	     14192 ns/op	  18.04 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-16           	   84963	     14313 ns/op	  17.89 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   48816	     24936 ns/op	  41.07 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   48680	     24637 ns/op	  41.56 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   49453	     24441 ns/op	  41.90 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   46442	     25400 ns/op	  40.32 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   49364	     24155 ns/op	  42.39 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   50001	     24428 ns/op	  41.92 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   48456	     24734 ns/op	  41.40 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   48406	     27694 ns/op	  36.97 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   46819	     26879 ns/op	  38.10 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-16            	   48577	     24946 ns/op	  41.05 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44206	     27340 ns/op	 149.82 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44004	     27049 ns/op	 151.43 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   45026	     27062 ns/op	 151.36 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44494	     26879 ns/op	 152.38 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44730	     26937 ns/op	 152.06 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44504	     26988 ns/op	 151.77 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44319	     26977 ns/op	 151.83 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44346	     27061 ns/op	 151.36 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   44960	     26761 ns/op	 153.06 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-16            	   45331	     26827 ns/op	 152.68 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35053	     34113 ns/op	 480.29 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35239	     33840 ns/op	 484.16 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35374	     33793 ns/op	 484.83 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35192	     35077 ns/op	 467.08 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35172	     34467 ns/op	 475.36 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35433	     33991 ns/op	 482.01 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35163	     37868 ns/op	 432.66 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   34154	     34270 ns/op	 478.09 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   35314	     33689 ns/op	 486.33 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-16           	   36469	     32956 ns/op	 497.14 MB/s	         1.000 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  398812	      2973 ns/op	  86.12 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  404338	      2963 ns/op	  86.40 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  393706	      3028 ns/op	  84.55 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  399272	      3007 ns/op	  85.14 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  396475	      3010 ns/op	  85.04 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  399843	      3015 ns/op	  84.91 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  397550	      2999 ns/op	  85.36 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  402694	      2960 ns/op	  86.49 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-16       	  402558	      2945 ns/op	  86.94 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
