goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21334	     56237 ns/op	 291.34 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21326	     56111 ns/op	 291.99 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21318	     56251 ns/op	 291.26 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58080	     20630 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58287	     20635 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   57968	     20648 ns/op	  12.40 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58102	     20636 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58222	     20629 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58170	     20629 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58219	     20621 ns/op	  12.41 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58077	     20655 ns/op	  12.39 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58118	     20656 ns/op	  12.39 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/256B-2           	   58215	     20648 ns/op	  12.40 MB/s	         1.023 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32653	     36746 ns/op	  27.87 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32629	     36745 ns/op	  27.87 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32642	     36782 ns/op	  27.84 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32642	     36756 ns/op	  27.86 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32629	     36756 ns/op	  27.86 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32672	     36732 ns/op	  27.88 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32653	     36723 ns/op	  27.88 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32635	     36757 ns/op	  27.86 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32629	     36787 ns/op	  27.84 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/1KB-2            	   32667	     36773 ns/op	  27.85 MB/s	         1.006 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29036	     41265 ns/op	  99.26 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29133	     41231 ns/op	  99.34 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29076	     41263 ns/op	  99.26 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29054	     41147 ns/op	  99.55 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29029	     41349 ns/op	  99.06 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29043	     41266 ns/op	  99.26 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29004	     41334 ns/op	  99.10 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29017	     41335 ns/op	  99.09 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29056	     41240 ns/op	  99.32 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/4KB-2            	   29070	     41251 ns/op	  99.29 MB/s	         1.001 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   21740	     55121 ns/op	 297.24 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22353	     53530 ns/op	 306.07 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22293	     53890 ns/op	 304.03 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22470	     53155 ns/op	 308.23 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22488	     53117 ns/op	 308.45 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   21879	     54907 ns/op	 298.39 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22070	     54581 ns/op	 300.18 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22183	     54123 ns/op	 302.72 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22242	     54025 ns/op	 303.27 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/random/16KB-2           	   22402	     54293 ns/op	 301.77 MB/s	         1.000 ratio	       1 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  270752	      4441 ns/op	  57.64 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  269668	      4425 ns/op	  57.86 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  271867	      4411 ns/op	  58.04 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  270960	      4421 ns/op	  57.90 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  271269	      4425 ns/op	  57.85 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  271753	      4425 ns/op	  57.86 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  272316	      4410 ns/op	  58.05 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  272008	      4414 ns/op	  57.99 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  271364	      4413 ns/op	  58.01 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/256B-2       	  271687	      4429 ns/op	  57.80 MB/s	         0.2188 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  238802	      5010 ns/op	 204.40 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  239320	      5006 ns/op	 204.57 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  239848	      5007 ns/op	 204.51 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  240231	      4996 ns/op	 204.96 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  239605	      4997 ns/op	 204.91 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  240312	      5004 ns/op	 204.64 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  239235	      5003 ns/op	 204.67 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  240783	      4996 ns/op	 204.96 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  240703	      4992 ns/op	 205.13 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/1KB-2        	  239959	      4996 ns/op	 204.95 MB/s	         0.06348 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  170443	      6801 ns/op	 602.26 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  177192	      6783 ns/op	 603.85 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  177061	      6773 ns/op	 604.73 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  177313	      6777 ns/op	 604.42 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176944	      6772 ns/op	 604.86 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176940	      6783 ns/op	 603.82 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176805	      6776 ns/op	 604.44 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176982	      6773 ns/op	 604.78 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176778	      6783 ns/op	 603.82 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/4KB-2        	  176931	      6783 ns/op	 603.88 MB/s	         0.02295 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73321	     16381 ns/op	1000.18 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73238	     16391 ns/op	 999.57 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73180	     16375 ns/op	1000.56 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73417	     16367 ns/op	1001.04 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73454	     16364 ns/op	1001.23 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73102	     16396 ns/op	 999.25 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73050	     16375 ns/op	1000.55 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73262	     16384 ns/op	 999.98 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73179	     16394 ns/op	 999.37 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/repetitive/16KB-2       	   73198	     16364 ns/op	1001.22 MB/s	         0.01147 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56812	     21128 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56742	     21142 ns/op	  12.11 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56796	     21121 ns/op	  12.12 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56835	     21112 ns/op	  12.13 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level6/jsonlike/256B-2         	   56840	     21140 ns/op	  12.11 MB/s	         0.5312 ratio	       0 B/op	       0 allocs/op
