goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGorilla/64KB-44        	  216928	      5293 ns/op	12380.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  216907	      5526 ns/op	11858.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  238155	      5047 ns/op	12985.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  216766	      5518 ns/op	11877.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  216931	      5250 ns/op	12482.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  217591	      5168 ns/op	12681.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  217311	      5525 ns/op	11861.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  235414	      5085 ns/op	12888.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64KB-44        	  217042	      5353 ns/op	12243.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	253481768	         4.732 ns/op	13523.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	252757990	         4.746 ns/op	13484.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	252229291	         4.756 ns/op	13455.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	254318294	         4.717 ns/op	13569.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	253262596	         4.742 ns/op	13495.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	254490096	         4.714 ns/op	13576.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	254112372	         4.717 ns/op	13568.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	254697374	         4.714 ns/op	13576.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	254540290	         4.713 ns/op	13579.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64B-44           	253370851	         4.742 ns/op	13497.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	77648205	        15.36 ns/op	16665.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	77835018	        15.36 ns/op	16668.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	77911028	        15.34 ns/op	16686.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	78089930	        15.36 ns/op	16668.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	78590953	        15.36 ns/op	16669.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	77916097	        15.37 ns/op	16654.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	78121708	        15.39 ns/op	16631.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	77655638	        15.36 ns/op	16664.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	78415130	        15.36 ns/op	16667.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/256B-44          	78095490	        15.38 ns/op	16643.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23204488	        51.72 ns/op	19799.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23144521	        51.85 ns/op	19750.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23165368	        51.80 ns/op	19767.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23244710	        51.66 ns/op	19821.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23203116	        51.70 ns/op	19806.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23166843	        51.75 ns/op	19789.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23162019	        51.72 ns/op	19800.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23193975	        51.73 ns/op	19793.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23216445	        51.65 ns/op	19823.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/1KB-44           	23249018	        51.68 ns/op	19815.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6102682	       196.6 ns/op	20829.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6106941	       196.6 ns/op	20836.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6103658	       196.6 ns/op	20830.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6099428	       196.6 ns/op	20829.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6101653	       196.7 ns/op	20826.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6101806	       196.6 ns/op	20833.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6100418	       196.6 ns/op	20833.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6100220	       196.7 ns/op	20826.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6104071	       196.6 ns/op	20833.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/4KB-44           	 6103837	       196.7 ns/op	20824.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547384	       775.5 ns/op	21127.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1548211	       775.2 ns/op	21136.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1548098	       775.1 ns/op	21137.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1548016	       775.1 ns/op	21136.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547985	       775.3 ns/op	21131.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547402	       775.4 ns/op	21130.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547775	       775.2 ns/op	21133.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547796	       775.4 ns/op	21129.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1547582	       775.4 ns/op	21129.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/16KB-44          	 1548291	       775.1 ns/op	21138.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386546	      3101 ns/op	21131.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386335	      3101 ns/op	21133.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386526	      3101 ns/op	21134.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386566	      3100 ns/op	21138.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386874	      3101 ns/op	21136.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386061	      3101 ns/op	21135.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386608	      3101 ns/op	21132.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386641	      3101 ns/op	21134.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386947	      3101 ns/op	21134.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskCoder/64KB-44          	  386536	      3101 ns/op	21132.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	222144708	         5.426 ns/op	11794.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	218906295	         5.454 ns/op	11734.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	223482111	         5.437 ns/op	11771.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	224206574	         5.369 ns/op	11921.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	218911276	         5.380 ns/op	11895.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	223821368	         5.412 ns/op	11826.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	225411243	         5.321 ns/op	12027.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	208498381	         5.610 ns/op	11407.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	219349032	         5.689 ns/op	11250.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64B-44             	228044178	         5.325 ns/op	12017.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	124941597	         9.629 ns/op	26586.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	125296114	         9.595 ns/op	26681.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	125163026	         9.584 ns/op	26711.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	125905287	         9.535 ns/op	26847.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	126818924	         9.527 ns/op	26872.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	125280465	         9.566 ns/op	26761.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	126416457	         9.526 ns/op	26873.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	125145943	         9.594 ns/op	26682.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	126044838	         9.552 ns/op	26800.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/256B-44            	126026240	         9.568 ns/op	26755.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37774851	        31.64 ns/op	32361.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	38127024	        31.68 ns/op	32321.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37273515	        31.62 ns/op	32383.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	36693366	        31.74 ns/op	32263.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37089686	        31.99 ns/op	32013.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37117670	        31.55 ns/op	32453.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	38265219	        31.80 ns/op	32204.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	38261854	        31.62 ns/op	32385.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37210254	        31.63 ns/op	32374.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/1KB-44             	37630620	        31.60 ns/op	32403.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	10014577	       119.7 ns/op	34208.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9991747	       120.1 ns/op	34110.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9993445	       120.1 ns/op	34113.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9957298	       120.4 ns/op	34014.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9955999	       120.5 ns/op	34003.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9960896	       120.4 ns/op	34024.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9962343	       120.4 ns/op	34015.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9959522	       120.4 ns/op	34010.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9993002	       120.0 ns/op	34125.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/4KB-44             	 9988488	       120.1 ns/op	34109.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2482747	       483.3 ns/op	33902.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2480420	       483.6 ns/op	33877.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2481834	       483.4 ns/op	33893.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2480220	       483.6 ns/op	33877.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2481717	       483.4 ns/op	33891.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2480074	       483.7 ns/op	33872.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2481212	       483.3 ns/op	33897.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2475690	       484.0 ns/op	33851.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2480775	       483.6 ns/op	33881.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/16KB-44            	 2480606	       483.6 ns/op	33879.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  560857	      2134 ns/op	30711.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  561670	      2131 ns/op	30752.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  564474	      2128 ns/op	30804.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  560240	      2135 ns/op	30696.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  559891	      2136 ns/op	30684.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  559657	      2136 ns/op	30677.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  561222	      2135 ns/op	30694.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  562666	      2127 ns/op	30809.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  558392	      2134 ns/op	30711.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGWS/64KB-44            	  561182	      2134 ns/op	30704.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	138792886	         8.662 ns/op	7388.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	140268765	         8.556 ns/op	7479.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	139378512	         8.571 ns/op	7467.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	141573746	         8.521 ns/op	7510.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	138888758	         8.660 ns/op	7390.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	138420262	         8.670 ns/op	7381.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	139185494	         8.641 ns/op	7406.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	139231341	         8.593 ns/op	7447.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	141131764	         8.498 ns/op	7531.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-44          	140049615	         8.592 ns/op	7449.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56810082	        21.10 ns/op	12131.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56718446	        21.13 ns/op	12116.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56824609	        21.11 ns/op	12128.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56869339	        21.10 ns/op	12131.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56817216	        21.10 ns/op	12130.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	52875640	        21.16 ns/op	12095.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56797592	        21.11 ns/op	12128.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56850310	        21.11 ns/op	12129.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56768136	        21.11 ns/op	12128.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-44         	56408842	        21.11 ns/op	12127.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16064098	        74.69 ns/op	13710.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16065752	        74.68 ns/op	13711.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16066030	        74.67 ns/op	13714.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16060996	        74.67 ns/op	13713.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16066568	        74.67 ns/op	13714.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16059040	        74.67 ns/op	13713.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16066040	        74.67 ns/op	13713.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16063308	        74.66 ns/op	13714.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16057628	        74.68 ns/op	13711.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-44          	16070840	        74.67 ns/op	13713.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4016743	       298.7 ns/op	13711.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4017042	       298.7 ns/op	13711.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4016008	       298.8 ns/op	13709.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4016883	       298.7 ns/op	13713.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4017108	       298.7 ns/op	13711.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4015665	       298.7 ns/op	13711.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4017213	       298.7 ns/op	13711.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 3996608	       299.1 ns/op	13693.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4016408	       298.7 ns/op	13713.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-44          	 4016168	       298.8 ns/op	13710.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14161.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14161.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14166.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14163.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14161.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14160.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1158 ns/op	14149.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14160.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14162.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-44         	 1000000	      1157 ns/op	14163.47 MB/s	       0 B/op	       0 allocs/op
